Country Name,CPI_AnnualChange,GDP_Growth,MoneySupply_GDPpct,ExchangeRate_LCUperUSD,CPI_log,MoneySupply_log,ExchangeRate_log
Lesotho,9.13511840462298,4.115930604378567,36.60300257354466,5.293018503749049,2.3225949892024094,3.607044741800071,1.4924797813347515
Liberia,11.311056499931611,2.0148574401899997,9.18391612181612,54.03882537377775,2.438424408277902,1.8170558796128753,3.377669911845498
Libya,5.849276045355365,5.707729755526788,50.81743252038328,0.8975984807506492,1.9251846333117626,3.7499419859780505,0.5429954230523164
Liechtenstein,,3.7856096395565695,,0.880440833333333,,,0.6315062351699584
Lithuania,50.49511609726663,2.012923610852988,,2.4978307278492813,1.749925391478159,,1.1817388551782304
Low & middle income,7.095620663953773,4.973121467905112,64.29356840295748,,2.001911151258084,3.9822872250984584,
Low income,7.298780952318277,2.4937248415630866,69.81872791506427,,1.986008160627436,3.673200971415319,
Lower middle income,7.2854772887536265,4.549884036216377,42.425897012266105,,2.0506923939849915,3.6919823787530386,
Luxembourg,3.2553773770762002,3.362787377369462,,25.448756976600794,1.286679389331388,,2.4901256613260343
"Macao SAR, China",3.4700293259041373,6.4086704847502585,145.3986114800059,7.34122981966954,1.5004286318452802,4.929440534813528,2.111538050431277
Madagascar,11.148917487483864,2.0508867901815235,18.52843786930679,1140.021816513608,2.30572496754201,2.948764988172171,5.923074966859096
Malawi,19.730724324074934,4.153469104161261,14.398504426400121,151.63057170036578,2.8787940884024796,2.7031407524909437,2.7957981854583136
Malaysia,2.8922322943048715,6.07004653970722,97.2112954450932,3.1447995110554974,1.1632260656370148,4.470355889799889,1.4095097803032086
Maldives,4.748633833288152,7.1972271527327525,39.43013320263768,10.029189115581952,1.605314566828075,3.6660007009010145,2.3267971900170976
Mali,2.6880736142534705,4.243519467186271,20.31361859702068,410.7592696281715,1.0924271465120687,3.0381168359663615,5.944740984510454
Malta,2.9609144165038437,5.829678617876136,,0.4970444793241734,1.139544879348571,,0.394888661866327
Marshall Islands,,3.1637244134375795,,1.0,,,0.6931471805599453
Mauritania,5.539510263665058,3.5169774255424273,15.738355745348468,15.773723146152614,1.781614023559265,2.7072876610337104,2.5466734156257296
Mauritius,7.080378012542652,4.5062031570324805,70.81297996955655,19.311430274611496,1.8468600316522465,4.155487528046159,2.7800187664742637
Mexico,18.268856050015618,3.5411347299472364,28.924435900813375,6.550669999523225,2.338979060599612,3.3756392419755774,1.3906730355474426
"Micronesia, Fed. Sts.",2.5918529541216198,2.4053164527226567,50.17165431876139,1.0,1.1017711030366921,3.9070755013431784,0.6931471805599453
"Middle East, North Africa, Afghanistan & Pakistan",5.557170301784458,4.7052969851049715,48.44358063195709,,1.7536941570902025,3.849984108133556,
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",6.676545327408701,4.325483735884388,53.71467595653944,,1.9278402999134687,3.96024068414228,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",6.923618469250489,4.32351251810919,53.74186749878165,,1.9694021661877483,3.960672999581422,
Middle income,7.178278320445372,5.024235728467065,63.5423037902601,,2.014214427969779,3.971091749485348,
Moldova,105.30329955995299,-0.023306493348054187,39.33994510100255,13.281365646824666,2.6964697682499006,3.630424504577682,2.59845348272549
Monaco,,3.1854701984408775,,3.636926355701906,,,1.3623598892843498
Mongolia,21.099856082900278,4.595459960826807,39.07633005440985,1495.4160153534253,2.3522338289389,3.607131054371763,6.951821575689794
Montenegro,3.315268467406406,2.6587857858202644,47.447129065060636,0.8584356091078497,1.1110138482534868,3.784609281773038,0.617959203818715
Morocco,4.1489497369219865,4.40140496339877,63.286493647891774,7.5733701002801865,1.3980361045962553,4.033009220264683,2.111515590608794
Mozambique,7.682132661090193,4.803672299560818,31.55278702901615,16.53421968068671,2.015422341220877,3.3865830225965134,1.7110327650541421
Myanmar,13.269258087296754,5.149600496005597,30.244038882874428,179.63709310701216,2.317456706756938,3.403661578552114,2.6897015735638785
Namibia,5.339667370065687,2.9507052138720082,46.18533237283817,5.443326948044892,1.8035335975527353,3.810582961014501,1.5233775310730906
Nauru,0.08777490064916452,-1.3841184943686347,,1.182209385443345,0.06467447437472366,,0.7717962072456938
Nepal,7.8177036571338245,3.789695833301703,44.59809880679358,49.22574152843616,2.1301996671786787,3.518169817860343,3.5114087564174734
Netherlands,3.403716397867794,2.7594992475859534,,1.9664137962043313,1.3190484351040717,,1.0209015336123741
New Caledonia,1.1306598518030495,3.821549282659177,,100.85515102150428,0.6898627436845892,,4.610946828390149
New Zealand,5.394795473188061,2.657314610144963,58.942126872249794,1.350231767000018,1.584624009765873,3.9234831161892854,0.8376215388986494
Nicaragua,6.865819097943991,2.8272889287416025,30.110642342443423,10.468571233117277,1.9886855429632488,3.341965666046795,1.521634156557973
Niger,4.388286341046669,3.013879287664371,12.087966583949344,410.7592696281715,1.4046347058151982,2.4829396583312473,5.944740984510454
Nigeria,16.25527120462075,3.6578682610702162,15.974628416716998,107.62900073310523,2.6040859899062365,2.774620414388133,2.8328963628047337
North America,3.7400402685244925,3.026671915035297,75.48067349197234,,1.4130304948281174,4.324507216290647,
North Macedonia,7.092006884709341,1.5402511588548355,42.47752209651055,51.495736854838704,1.1557662649946916,3.640997153157104,3.951381664288126
Northern Mariana Islands,,-1.9290429112936223,,1.0,,,0.6931471805599453
Norway,4.417132733902485,2.973462594147663,54.52028302653432,7.036493282134414,1.5307858625609423,4.011761573406763,2.0723265164621245
OECD members,4.913626064568002,2.941344391305388,92.10184278038503,,1.6066862972848108,4.504287983642059,
